              sh-3635  [006] .....   934.485523: funcgraph_exit:         0.291 us   |              }
              sh-3635  [006] .....   934.485523: funcgraph_exit:         5.958 us   |            }
              sh-3635  [006] .....   934.485523: funcgraph_exit:         6.125 us   |          }
              sh-3635  [006] .....   934.485523: funcgraph_entry:                   |          ima_file_check() {
              sh-3635  [006] .....   934.485523: funcgraph_entry:                   |            security_current_getsecid_subj() {
              sh-3635  [006] .....   934.485523: funcgraph_entry:        0.083 us   |              apparmor_current_getsecid_subj();
              sh-3635  [006] .....   934.485524: funcgraph_entry:        0.084 us   |              bpf_lsm_current_getsecid_subj();
              sh-3635  [006] .....   934.485524: funcgraph_exit:         0.417 us   |            }
              sh-3635  [006] .....   934.485524: funcgraph_entry:        0.125 us   |            process_measurement();
              sh-3635  [006] .....   934.485524: funcgraph_exit:         0.792 us   |          }
              sh-3635  [006] .....   934.485524: funcgraph_entry:                   |          terminate_walk() {
              sh-3635  [006] .....   934.485524: funcgraph_entry:                   |            dput() {
              sh-3635  [006] .....   934.485524: funcgraph_entry:                   |              __cond_resched() {
              sh-3635  [006] .....   934.485524: funcgraph_entry:        0.083 us   |                rcu_all_qs();
              sh-3635  [006] .....   934.485524: funcgraph_exit:         0.250 us   |              }
              sh-3635  [006] .....   934.485525: funcgraph_exit:         0.417 us   |            }
              sh-3635  [006] .....   934.485525: funcgraph_entry:                   |            mntput() {
              sh-3635  [006] .....   934.485525: funcgraph_entry:        0.083 us   |              mntput_no_expire();
              sh-3635  [006] .....   934.485525: funcgraph_exit:         0.292 us   |            }
              sh-3635  [006] .....   934.485525: funcgraph_exit:         0.958 us   |          }
              sh-3635  [006] .....   934.485525: funcgraph_exit:       + 18.500 us  |        }
              sh-3635  [006] .....   934.485525: funcgraph_exit:       + 18.708 us  |      }
              sh-3635  [006] .....   934.485525: funcgraph_entry:                   |      __fsnotify_parent() {
              sh-3635  [006] .....   934.485525: funcgraph_entry:        0.083 us   |        dget_parent();
              sh-3635  [006] .....   934.485526: funcgraph_entry:        0.084 us   |        fsnotify();
              sh-3635  [006] .....   934.485526: funcgraph_entry:                   |        dput() {
              sh-3635  [006] .....   934.485526: funcgraph_entry:                   |          __cond_resched() {
              sh-3635  [006] .....   934.485526: funcgraph_entry:        0.125 us   |            rcu_all_qs();
              sh-3635  [006] .....   934.485526: funcgraph_exit:         0.542 us   |          }
              sh-3635  [006] .....   934.485526: funcgraph_exit:         0.708 us   |        }
              sh-3635  [006] .....   934.485526: funcgraph_exit:         1.209 us   |      }
              sh-3635  [006] .....   934.485527: funcgraph_entry:        0.083 us   |      fd_install();
              sh-3635  [006] .....   934.485527: funcgraph_entry:                   |      putname() {
              sh-3635  [006] .....   934.485527: funcgraph_entry:        0.083 us   |        kmem_cache_free();
              sh-3635  [006] .....   934.485527: funcgraph_exit:         0.250 us   |      }
              sh-3635  [006] .....   934.485527: funcgraph_exit:       + 23.667 us  |    }
